rank,name,position,stars,grade,school
1,Jack Sawyer,DE,5,91,Ohio State
2,Tommy Brockermeyer,OT,5,91,Alabama
3,Quinn Ewers,QB,5,95,Ohio State
4,Korey Foreman,DE,5,91,USC
5,J.T. Tuimoloau,DT,5,90,Ohio State
6,J.C. Latham,OT,5,90,Alabama
7,Leonard Taylor,DT,5,90,Miami
8,Jeremiah Trotter Jr.,OLB,5,90,Clemson
9,Keeshawn Silver,DE,5,90,N Carolina
10,TreVeyon Henderson,RB,5,90,Ohio State
11,Terrence Lewis,OLB,5,90,Maryland
12,Smael Mondon,ATH,5,90,Georgia
13,Dallas Turner,OLB,5,90,Alabama
14,Ja'Tavion Sanders,ATH,5,90,Texas
15,Shemar Turner,DE,5,90,Texas A&M
16,Sam Huard,QB,4,89,Washington
17,Caleb Williams,QB,4,89,Oklahoma
18,Mario Williams Jr.,WR,4,89,Oklahoma
19,Dylan Brooks,DE,4,89,Auburn
20,Jaxson Dart,QB,4,89,USC
21,Amarius Mims,OT,4,88,Georgia
22,Xavian Sorey,ATH,4,88,Georgia
23,Will Shipley,RB,4,88,Clemson
24,Jake Garcia,QB,4,88,Miami
25,Tristan Leigh,OT,4,88,Clemson
26,J.J. McCarthy,QB,4,88,Michigan
27,Damon Payne,DT,4,88,Alabama
28,Jake Rubley,QB,4,87,Kansas St
29,Derrick Davis Jr.,S,4,87,LSU
30,Savion Byrd,OT,4,87,Oklahoma
31,Emeka Egbuka,WR,4,87,Ohio State
32,Kyle McCord,QB,4,87,Ohio State
33,Payton Page,DT,4,87,Clemson
34,Garrett Dellinger,OT,4,87,LSU
35,Agiye Hall,WR,4,87,Alabama
36,James Williams,OLB,4,87,Miami
37,Nolan Rucci,OT,4,87,Wisconsin
38,Brock Vandagriff,QB,4,87,Georgia
39,Demeioun Robinson,OLB,4,87,Maryland
40,Miller Moss,QB,4,87,USC
41,Ga'Quincy McKinstry,ATH,4,87,Alabama
42,Tyler Buchner,QB,4,87,Notre Dame
43,Tunmise Adeleye,DE,4,87,Texas A&M
44,Camar Wheaton,RB,4,86,Alabama
