rank,name,position,stars,grade,school
45,Jason Marshall,CB,4,86,Florida
46,Tywone Malone,DT,4,86,Ole Miss
47,Raesjon Davis,OLB,4,86,USC
48,Drake Maye,QB,4,86,N Carolina
49,Beaux Collins,WR,4,86,Clemson
50,Avante Dickerson,CB,4,86,Oregon
51,Jayden Ballard,WR,4,86,Ohio State
52,Cane Berrong,TE,4,86,Notre Dame
53,Jacorey Brooks,WR,4,86,Alabama
54,Aaron McLaughlin,QB,4,86,NC State
55,David Daniel,S,4,86,Georgia
56,Ethan Calvert,OLB,4,86,Utah
57,Sawyer Robertson,QB,4,86,Miss St
58,Maason Smith,DT,4,86,LSU
59,Carlos Del Rio,QB,4,86,Florida
60,Isaiah Brevard,WR,4,86,Oregon
61,Lee Hunter,DT,4,86,Auburn
62,Shedeur Sanders,QB,4,86,Jackson St
63,Xavier Worthy,WR,4,86,Texas
64,Garrett Nussmeier,QB,4,86,LSU
65,Sage Ryan,ATH,4,86,LSU
66,Bryce Langston,DE,4,86,LSU
67,Rocco Spindler,OG,4,86,Notre Dame
68,Ty Thompson,QB,4,86,Oregon
69,Donovan Edwards,RB,4,86,Michigan
70,Branden Jennings,OLB,4,86,Maryland
71,Donovan Jackson,OG,4,86,Ohio State
72,Troy Franklin,WR,4,86,Oregon
73,Shadrach Banks,ATH,4,86,Texas A&M
74,JoJo Earle,WR,4,86,Alabama
75,Jake Briningstool,TE,4,86,Clemson
76,Deion Colzie,WR,4,86,Notre Dame
77,Clinton Burton Jr.,CB,4,85,Boston College
78,Christian Leary,ATH,4,85,Alabama
79,Landon Jackson,DE,4,85,LSU
80,Billy Bowman Jr.,WR,4,85,Oklahoma
81,Terrence Ferguson,OT,4,85,Alabama
82,Mike Hall,DT,4,85,Ohio State
83,Marvin Harrison Jr.,WR,4,85,Ohio State
84,Elliot Donald,DE,4,85,Pittsburgh
85,Clayton Smith,OLB,4,85,Oklahoma
86,Cade Denhoff,DE,4,85,Clemson
87,L.J. Johnson,RB,4,85,Texas A&M
88,Raneiria Dillworth,OLB,4,85,N Carolina
89,Jakailin Johnson,CB,4,85,Ohio State
90,Destyn Hill,WR,4,85,Florida St
91,Landon Tengwall,OT,4,85,Penn State
92,Bryce Carter,DE,4,85,Virginia
93,Dont'e Thornton,WR,4,85,Oregon
94,Corey Collier,S,4,84,Florida
95,Micah Morris,OT,4,84,Georgia
96,Jeremiah Williams,DE,4,84,Florida
97,Ma'a Gaoteote,OLB,4,84,Michigan St
98,Kingsley Suamataia,OT,4,84,Oregon
99,Jaeden Roberts,OG,4,84,Alabama
100,James Brockermeyer,OC,4,84,Alabama
101,Wyatt Milum,OT,4,84,W Virginia
102,Jordan Hancock,CB,4,84,Ohio State
103,Armoni Goodwin,RB,4,84,LSU
104,Jacolby George,WR,4,84,Miami
105,Blake Fisher,OT,4,84,Notre Dame
106,Barrett Carter,OLB,4,84,Clemson
107,J. Michael Sturdivant,WR,4,84,California
108,Jamon Dumas-Johnson,OLB,4,84,Georgia
109,Quintin Somerville,DE,4,84,UCLA
110,Jalil Farooq,WR,4,84,Oklahoma
111,Ceyair Wright,CB,4,84,USC
112,Brian Thomas,WR,4,84,LSU
113,Jalen Milroe,QB,4,84,Alabama
114,Nyland Green,CB,4,84,Georgia
115,Tyreak Sapp,DE,4,84,Florida
116,Ishmael Ibraheem,CB,4,84,Texas
117,Kai Millner,QB,4,84,California
118,Kyron Ware-Hudson,ATH,4,84,USC
119,Luke Altmyer,QB,4,84,Ole Miss
120,Deion Smith,WR,4,84,LSU
121,Deontae Lawson,OLB,4,84,Vanderbilt
