rank,name,position,stars,grade,school
1,Julian Fleming,WR,5,93,Ohio State
2,Desmond Evans,DE,5,92,N Carolina
3,Bryan Bresee,DT,5,92,Clemson
4,Jordan Burch,DE,5,91,S Carolina
5,Bryce Young,QB,5,91,Alabama
6,Arik Gilbert,TE,5,91,LSU
7,Chris Braswell,DE,5,91,Alabama
8,Kelee Ringo,CB,5,91,Georgia
9,Broderick Jones,OT,5,91,Georgia
10,Justin Flowe,ILB,5,91,Oregon
11,Paris Johnson Jr.,OT,5,90,Ohio State
12,Jalen Carter,DT,5,90,Georgia
13,Myles Murphy,DE,5,90,Clemson
14,Myles Hinton,OT,5,90,Stanford
15,Sav'ell Smalls,OLB,5,90,Washington
16,Zachary Evans,RB,5,90,TCU
17,Gervon Dexter,DT,5,90,Florida
18,Mekhail Sherman,ILB,4,89,Georgia
19,Darnell Washington,TE,4,89,Georgia
20,Tank Bigsby,RB,4,88,Auburn
21,Bijan Robinson,RB,4,88,Texas
22,Rakim Jarrett,WR,4,87,Maryland
23,DeMarkcus Bowman,RB,4,87,Clemson
24,Dontae Manning,CB,4,86,Oregon
25,Arian Smith,ATH,4,86,Georgia
26,Demonte Capehart,DT,4,86,Clemson
27,Noah Sewell,ILB,4,86,Oregon
28,Phillip Webb,OLB,4,86,LSU
29,Mitchell Mayes,OG,4,86,Clemson
30,Chris Tyree,RB,4,86,Notre Dame
31,Reggie Grimes,OLB,4,86,Oklahoma
32,Braiden McGregor,ATH,4,86,Michigan
33,Kayshon Boutte,WR,4,86,LSU
34,Ja'Quinden Jackson,ATH,4,86,Texas
35,Jaylon Jones,CB,4,86,Texas A&M
36,Drew Sanders,ATH,4,86,Alabama
37,Jaquelin Roy,DT,4,86,LSU
38,Antwaun Powell,DE,4,86,Florida
39,Elias Ricks,CB,4,86,LSU
40,Hudson Card,QB,4,86,Texas
41,Jase McClellan,RB,4,86,Alabama
42,Wesley Steiner,OLB,4,86,Auburn
43,D.J. Uiagalelei,QB,4,86,Clemson
44,Tre Williams,DT,4,86,Clemson
45,Marcus Rosemy,WR,4,86,Georgia
46,Haynes King,QB,4,86,Texas A&M
47,Demond Demas,WR,4,86,Texas A&M
48,E.J. Smith,ATH,4,85,Stanford
49,William Anderson,DE,4,85,Alabama
50,Jalen Rivers,OT,4,85,Miami
51,Avantae Williams,S,4,85,Miami
52,Alfred Collins,DE,4,85,Texas
53,Daniyel Ngata,RB,4,85,Arizona St
54,Jordan Johnson,WR,4,85,Notre Dame
55,Antoine Sampah,OLB,4,85,LSU
56,Marshawn Lloyd,RB,4,85,S Carolina
57,Chad Lindberg,OT,4,85,Georgia
58,Luke Wypler,OC,4,84,Ohio State
59,Marcus Dumervil,OT,4,84,LSU
60,Curtis Jacobs,OLB,4,84,Penn State
61,Andrew Raym,OT,4,84,Oklahoma
62,Chantz Williams,DE,4,84,Miami
63,Quentin Johnston,WR,4,84,TCU
64,Trey Wedig,OT,4,84,Wisconsin
65,Fred Davis,CB,4,84,Clemson
66,Don Chaney Jr.,RB,4,84,Miami
67,Nathan Anderson,OT,4,84,Oklahoma
68,Sedrick Van Pran,OC,4,84,Georgia
69,Roydell Williams,RB,4,84,Alabama
70,Turner Corcoran,OT,4,84,Nebraska
71,Jahari Rogers,CB,4,84,Florida
72,Myles Murao,OG,4,84,Washington
73,Xzavier Henderson,WR,4,84,Florida
74,Tate Ratledge,OT,4,84,Georgia
75,Cole Brevard,DT,4,84,Penn State
76,Christopher Thompson Jr.,S,4,84,Auburn
77,Demorie Tate,ATH,4,84,Florida St
78,Andrew Gentry,OT,4,84,Virginia
79,Major Burns,CB,4,84,Georgia
80,Vernon Broughton,DE,4,84,Texas
81,Michael Mayer,TE,4,84,Notre Dame
82,Demouy Kennedy,OLB,4,84,Alabama
83,Luke Doty,QB,4,84,S Carolina
84,Jalen Kimber,CB,4,84,Georgia
85,Jaylan Knighton,RB,4,84,Miami
86,Walker Parks,OT,4,84,Clemson
87,Thaiu Jones-Bell,WR,4,84,Alabama
88,Jeff Sims,QB,4,84,Georgia Tech
89,Quandarrius Robinson,OLB,4,84,Alabama
90,Clark Phillips III,CB,4,84,Utah
91,Jaxon Smith-Njigba,WR,4,84,Ohio State
92,Trenton Simpson,OLB,4,84,Clemson
93,Zykeivous Walker,DE,4,84,Auburn
94,Johnny Wilson,WR,4,84,Arizona St
95,Garrett Hayes,OT,4,84,TCU
96,Kendall Milton,RB,4,84,Georgia
97,Gary Bryant,WR,4,84,USC
98,McKinnley Jackson,DT,4,84,Texas A&M
99,Jermaine Burton,WR,4,84,Georgia
100,Myles Murphy,DE,4,84,N Carolina
101,Jaquavion Fraziars,WR,4,84,Florida
102,Keshawn Lawrence,ATH,4,84,Tennessee
103,Theo Johnson,TE,4,84,Penn State
104,C.J. Stroud,QB,4,84,Ohio State
105,Zavier Betts,WR,4,84,Nebraska
106,Brian Branch,S,4,84,Alabama
107,Kitan Crawford,ATH,4,84,Texas
108,Antonio Doyle,OLB,4,84,Texas A&M
109,Chris Morris,OG,4,84,Texas A&M
110,Tyler Van Dyke,QB,4,84,Miami
111,Donell Harris,DE,4,84,Texas A&M
112,A.J. Henning,WR,4,84,Michigan
113,Mookie Cooper,ATH,4,84,Ohio State
114,Kobe Hudson,WR,4,84,Auburn
115,Damian Sellers,OLB,4,84,UCLA
116,Michael Alaimo,QB,4,84,Purdue
117,Ethan Pouncey,CB,4,84,Florida
118,Darin Turner,WR,4,84,Arkansas
119,Jah-Marien Latham,DT,4,84,Alabama
120,Blake Corum,RB,4,84,Michigan
