rank,name,position,stars,grade,school
1,Ellis Robinson IV,CB,5,92,Georgia
2,Jaylen Mbakwe,CB,5,92,Alabama
3,Ryan Williams,WR,5,92,Alabama
4,Jeremiah Smith,WR,5,92,Ohio State
5,Cameron Coleman,WR,5,91,Auburn
6,David Stone,DT,5,91,Oklahoma
7,Justin Williams,ILB,5,91,Georgia
8,D.J. Lagway,QB,5,91,Florida
9,Julian Sayin,QB,5,91,Ohio State
10,L.J. McCray,DE,5,91,Florida
11,Dylan Raiola,QB,5,90,Nebraska
12,Colin Simmons,DE,5,90,Texas
13,Sammy Brown,ILB,5,90,Clemson
14,Dylan Stewart,DE,5,90,S Carolina
15,Kobe Black,CB,5,90,Texas
16,K.J. Bolden,S,5,90,Georgia
17,Dominick McKinley,DT,5,90,LSU
18,Terry Bussey,ATH,5,90,Texas A&M
19,Jordan Seaton,OT,5,90,Colorado
20,Chris Cole,OLB,5,90,Georgia
21,Williams Nwaneri,DE,5,90,Missouri
22,Micah Hudson,WR,5,90,Texas Tech
23,Mike Matthews,WR,5,90,Tennessee
24,Jordan Ross,DE,4,89,Tennessee
25,Joshisa Trader,WR,4,89,Miami
26,Joseph Jonah-Ajonye,DT,4,88,Georgia
27,Elijah Rushing,DE,4,88,Oregon
28,Bryant Wesco,WR,4,88,Clemson
29,Aaron Scott,CB,4,88,Ohio State
30,Justin Scott,DT,4,88,Miami
31,Armondo Blount,DE,4,87,Miami
32,Aydin Breland,DT,4,87,Oregon
33,Ryan Wingo,WR,4,87,Texas
34,Bryce West,CB,4,87,Ohio State
35,Eddrick Houston,DE,4,86,Ohio State
36,C.J. Carr,QB,4,86,Notre Dame
37,Mylan Graham,WR,4,86,Ohio State
38,Taylor Tatum,RB,4,86,Oklahoma
39,Xavier Filsaime,S,4,86,Texas
40,Brandon Baker,OT,4,86,Texas
41,Ify Obidegwu,CB,4,86,Oregon
42,Demarcus Riddick,OLB,4,86,Auburn
43,Ny Carr,WR,4,86,Miami
44,Charles Lester III,CB,4,86,Florida St
45,Aaron Chiles,ILB,4,86,Florida
46,Zay Mincey,S,4,86,Alabama
47,Cam Williams,WR,4,86,Notre Dame
48,Booker Pickett Jr.,OLB,4,86,Miami
49,Kam Pringle,OT,4,86,S Carolina
50,T.J. Moore,WR,4,86,Clemson
51,Jaden Reddell,TE,4,86,Georgia
52,Air Noland,QB,4,85,Ohio State
53,Landen Thomas,TE,4,85,Florida St
54,Jamonta Waller,DE,4,85,Auburn
55,JacQawn McRoy,OT,4,85,Oregon
56,Perry Thompson,WR,4,85,Auburn
57,Michael Van Buren,QB,4,85,Miss St
58,Myles Graham,OLB,4,85,Florida
59,Jerrick Gibson,RB,4,85,Texas
60,Demello Jones,S,4,85,Georgia
61,Josiah Thompson,OT,4,85,S Carolina
62,Nathaniel Frazier,RB,4,85,Georgia
63,Brian Robinson,DE,4,84,Kentucky
64,Caleb Odom,TE,4,84,Alabama
65,Zabien Brown,CB,4,84,Alabama
66,Benedict Umeh,DE,4,84,Stanford
67,Jordan Thomas,DT,4,84,Georgia
68,Davon Mitchell,TE,4,84,Oklahoma
69,Dakoda Fields,CB,4,84,Oregon
70,Luke Reynolds,TE,4,84,Penn State
71,Kameryn Fountain,DE,4,84,USC
72,Brady Prieskorn,TE,4,84,Michigan
73,Bennett Warren,OT,4,84,Tennessee
74,Zion Kearney,WR,4,84,Oklahoma
75,Kyngstonn Viliamu-Asa,OLB,4,84,Notre Dame
76,Ethan Grunkemeyer,QB,4,84,Penn State
77,Dre'lon Miller,ATH,4,84,Colorado
78,Adarius Hayes,OLB,4,84,Miami
79,Jonathan Paylor,ATH,4,84,NC State
80,Xavier Jordan,WR,4,84,USC
81,Kevin Riley,RB,4,84,Alabama
82,Amir Jackson,TE,4,84,Florida
83,Corian Gipson,S,4,84,Clemson
84,Michael Uini,OT,4,84,Georgia
85,Kameron Davis,RB,4,84,Florida St
