rank,name,position,stars,grade,school
86,Trey'Dez Green,TE,4,84,LSU
87,Jeremiah McClellan,WR,4,84,Oregon
88,Amaris Williams,DE,4,84,Auburn
89,Aaron Butler,ATH,4,84,Texas
90,Grant Brix,OT,4,84,Nebraska
91,Quinton Martin,RB,4,84,Penn State
92,Jaden Smith,OLB,4,84,Kentucky
93,Bryce Young,DE,4,84,Notre Dame
94,Guerby Lambert,OT,4,84,Notre Dame
95,Casey Poe,OG,4,84,Alabama
96,Kamarion Franklin,DE,4,84,Ole Miss
97,Walter Matthews,TE,4,84,USC
98,Jacob Smith,DE,4,84,Kentucky
99,Selman Bridges,CB,4,84,Arkansas
100,Daniel Calhoun,OT,4,84,Georgia
101,Artavius Jones,DT,4,84,Miami
102,Wendell Gregory,OLB,4,84,S Carolina
103,Cooper Cousins,OC,4,84,Penn State
104,Jordan Marshall,RB,4,84,Michigan
105,Aaron Flowers,CB,4,84,Oregon
106,Jelani Watkins,ATH,4,84,LSU
107,Marquise Lightfoot,DE,4,84,Miami
108,Gatlin Bair,WR,4,84,Oregon
109,Ryan Puglisi,QB,4,84,Georgia
110,Jonathan Daniels,OT,4,83,Florida St
111,Garrett Stover,S,4,83,Ohio State
112,Jeremiah Beaman,DT,4,83,Alabama
113,Jamari Howard,CB,4,83,Florida St
114,Isaiah Garcia,OT,4,83,Utah
115,Kristopher Jones,OLB,4,83,Georgia
116,Christian Bentancur,TE,4,83,Clemson
117,Dilin Jones,RB,4,83,Wisconsin
118,Dashawn McBryde,S,4,83,LSU
119,Carter Nelson,TE,4,83,Nebraska
120,Blake Ivy,OT,4,83,Texas A&M
121,Kamron Mikell,ATH,4,83,Georgia
