rank,name,position,stars,grade,school
1,Walter Nolen,DT,5,95,Texas A&M
2,Travis Hunter,CB,5,94,Jackson St
3,Gabe Brownlow-Dindy,DT,5,93,Texas A&M
4,Harold Perkins,OLB,5,93,LSU
5,Luther Burden,WR,5,92,Missouri
6,Lebbeus Overton,DE,5,92,Texas A&M
7,Shemar Stewart,DE,5,92,Texas A&M
8,Zach Rice,OT,5,92,N Carolina
9,Domani Jackson,CB,5,92,USC
10,Devon Campbell,OG,5,91,Texas
11,Tyler Booker,OG,5,91,Alabama
12,Malaki Starks,ATH,5,90,Georgia
13,Evan Stewart,WR,5,90,Texas A&M
14,Will Campbell,OT,5,90,LSU
15,Alex Styles,ATH,5,90,Ohio State
16,Shazz Preston,WR,5,90,Alabama
17,C.J. Hicks,OLB,5,90,Ohio State
18,Kamari Wilson,S,5,90,Florida
19,Jeremiah Alexander,DE,5,90,Alabama
20,Derrick Moore,DE,4,89,Michigan
21,Jaheim Singletary,CB,4,89,Georgia
22,Chris Marshall,WR,4,89,Texas A&M
23,William Johnson,CB,4,88,Michigan
24,Mykel Williams,DT,4,88,Georgia
25,Denver Harris,CB,4,87,Texas A&M
26,Omari Abor,DE,4,87,Ohio State
27,Conner Weigman,QB,4,87,Texas A&M
28,Ernest Cooper IV,DE,4,87,Stanford
29,Cade Klubnik,QB,4,87,Clemson
30,Emmanuel Henderson,ATH,4,87,Alabama
31,Josh Conerly Jr.,OT,4,87,Oregon
32,Kaden Saunders,WR,4,87,Penn State
33,Kelvin Banks,OT,4,87,Texas
34,Ty Simpson,QB,4,87,Alabama
35,Jeadyn Lukus,CB,4,87,Clemson
36,Branson Robinson,RB,4,87,Georgia
37,Shawn Murphy,ILB,4,87,Alabama
38,Jaheim Oatis,DT,4,87,Alabama
39,Jalon Walker,OLB,4,87,Georgia
40,Enai White,DE,4,87,Texas A&M
41,Jihaad Campbell,OLB,4,87,Alabama
42,Walker Howard,QB,4,87,LSU
43,Dasan McCullough,OLB,4,86,Indiana
44,Kiyaunta Goodwin,OT,4,86,Kentucky
45,Khamauri Rogers,CB,4,86,Miami
46,Bryce Anderson,S,4,86,Texas A&M
47,Daylen Everette,CB,4,86,Georgia
48,Jaylen Sneed,OLB,4,86,Notre Dame
49,Le'veon Moss,RB,4,86,Texas A&M
50,P.J. Williams,OT,4,86,Texas A&M
51,Drew Allar,QB,4,86,Penn State
52,Jacoby Mathews,S,4,86,Texas A&M
53,Gentry Williams,ATH,4,86,Oklahoma
54,Neto Umeozulu,OT,4,86,Texas
55,Sam McCall,ATH,4,86,Florida St
56,Bear Alexander,DT,4,86,Georgia
57,Nicholas Singleton,RB,4,86,Penn State
58,Jordan Hudson,WR,4,86,TCU
59,Khurtiss Perry,DT,4,86,Alabama
60,A.J. Duffy,QB,4,86,Florida St
61,Gavin Sawchuk,RB,4,86,Oklahoma
62,Travis Shaw,DT,4,86,N Carolina
63,Kevin Coleman,WR,4,86,Jackson St
64,Raleek Brown,RB,4,86,USC
65,Marvin Jones Jr.,OLB,4,85,Georgia
66,Deyon Bouie,ATH,4,85,Texas A&M
67,Trequon Fegans,CB,4,85,Alabama
68,Kenyatta Jackson Jr.,DE,4,85,Ohio State
69,Aaron Anderson,WR,4,85,Alabama
70,Earnest Greene III,OT,4,85,Georgia
71,Bryan Allen Jr.,S,4,85,Texas
72,Isaiah Bond,ATH,4,85,Alabama
73,Talyn Shettron,WR,4,85,Oklahoma St
74,Joe Brunner,OT,4,85,Wisconsin
75,Cyrus Moss,OLB,4,85,Miami
76,Zion Branch,S,4,85,USC
77,Drew Shelton,OT,4,85,Penn State
78,C.J. Washington,ILB,4,85,Georgia
79,Adam Randall,WR,4,85,Clemson
80,Dani Dennis-Sutton,DE,4,85,Penn State
81,Devin Brown,QB,4,85,Ohio State
82,Malick Sylla,DE,4,85,Texas A&M
83,Marquis Gracial,DT,4,85,Missouri
84,Antonio Williams,WR,4,84,Clemson
85,Marcus Washington,CB,4,85,Georgia
86,Kobe Prentice,ATH,4,84,Alabama
87,Devon Jackson,OLB,4,84,Oregon
88,Kaleb Brown,ATH,4,84,Ohio State
89,D.J. Wesolak,DE,4,84,Missouri
90,George Pettaway,RB,4,84,N Carolina
91,Kam Dewberry,OT,4,84,Texas A&M
92,Kobie McKinzie,ILB,4,84,Oklahoma
93,Tychaun Chapman,WR,4,84,N Carolina
94,Nathan Johnson,QB,4,84,Utah
95,Jovantae Barnes,RB,4,84,Oklahoma
96,Niuafe Tuihalamaka,ILB,4,84,Notre Dame
97,Andre Greene Jr.,WR,4,84,N Carolina
98,Laterrance Welch,CB,4,84,LSU
99,Elijah Pritchett,OT,4,84,Alabama
100,Caleb Burton,WR,4,84,Ohio State
101,Keon Sabb,S,4,84,Michigan
102,Nicholas Anderson,WR,4,84,Oklahoma
103,Gunner Givens,DT,4,84,Virginia Tech
104,Justice Finkley,DE,4,84,Texas
105,Donovan Green,TE,4,84,Texas A&M
106,Collin Sadler,OT,4,84,Clemson
107,Jake Johnson,TE,4,84,Texas A&M
108,Gabe Powers,OLB,4,84,Ohio State
109,Robert Spears-Jennings,ATH,4,84,Oklahoma
110,Hero Kanu,DT,4,84,Ohio State
111,Gunner Stockton,QB,4,83,Georgia
112,Addison Nichols,OT,4,83,Tennessee
113,Shemar James,ATH,4,83,Florida
114,Aamil Wagner,OT,4,83,Notre Dame
115,Kendrick Law,ATH,4,83,Alabama
116,Jaleel Skinner,TE,4,83,Miami
117,Nyjalik Kelly,DE,4,83,Miami
118,Anthony Lucas,DT,4,83,Texas A&M
119,Jamarion Miller,RB,4,83,Alabama
120,Antonio Kite,ATH,4,83,Alabama
