rank,name,position,stars,grade,school
1,Bryce Underwood,QB,5,93,Michigan
2,Keelon Russell,QB,5,93,Alabama
3,Elijah Griffin,DT,5,93,Georgia
4,Dakorien Moore,WR,5,93,Oregon
5,Na'eem Offord,CB,5,92,Oregon
6,Michael Fasusi,OT,5,92,Oklahoma
7,David Sanders,OT,5,91,Tennessee
8,Justus Terry,DT,5,91,Texas
9,Jonah Williams,S,5,91,Texas
10,Tavien St. Clair,QB,5,91,Ohio State
11,Dijon Lee Jr.,CB,5,91,Alabama
12,Julian Lewis,QB,5,91,Colorado
13,Devin Sanchez,CB,5,91,Ohio State
14,Isaiah Gibson,DE,5,90,Georgia
15,Blake Woodby,CB,5,90,Auburn
16,Ty Haywood,OT,5,90,Michigan
17,Solomon Thomas,OT,5,90,LSU
18,D.J. Pickett,CB,5,90,LSU
19,S.J. Alofaituli,OC,5,90,Miami
20,Lamont Rogers,OT,5,90,Texas A&M
21,Jahkeem Stewart,DT,5,90,USC
22,Douglas Utu,OT,5,90,Oregon
23,Isaiah Campbell,DT,4,89,Tennessee
24,Josh Petty,OT,4,89,Georgia Tech
25,Zayden Walker,OLB,4,88,Georgia
26,Jaime Ffrench,WR,4,87,Texas
27,Harlem Berry,RB,4,87,LSU
28,Andrew Babalola,OT,4,87,Michigan
29,Iose Epenesa,DE,4,86,Iowa
30,Kaliq Lockett,WR,4,86,Texas
31,Michael Terry,ATH,4,86,Texas
32,Talyn Taylor,WR,4,86,Georgia
33,Kade Phillips,CB,4,86,Texas
34,Juan Gaston,OT,4,86,Georgia
35,Jerome Myles,WR,4,86,Texas A&M
36,Brandon Finney,CB,4,86,Oregon
37,Jared Smith,DE,4,86,Auburn
38,Akylin Dear,RB,4,86,Alabama
39,Caleb Cunningham,WR,4,86,Ole Miss
40,Deuce Knight,QB,4,86,Auburn
41,Vernell Brown III,WR,4,86,Florida
42,Trey McNutt,S,4,86,Oregon
43,Dallas Wilson,WR,4,86,Florida
44,Husan Longstreet,QB,4,85,USC
45,Tae Harris,S,4,85,Georgia Tech
46,Elyiss Williams,TE,4,85,Georgia
47,Ivan Taylor,CB,4,85,Alabama
48,Alai Kalaniuvalu,OC,4,85,BYU
49,Darrell Johnson,OLB,4,85,Alabama
50,Anquon Fegans,S,4,84,Auburn
51,Dorian Brew,CB,4,84,Oregon
52,Ty Jackson,ILB,4,84,Florida
53,Adonyss Currie,CB,4,84,Texas A&M
54,Chad Woodfork,DE,4,84,TCU
55,Riley Pettijohn,OLB,4,84,Ohio State
56,Amare Adams,DT,4,84,Clemson
57,Ethan Barbour,TE,4,84,Georgia
58,Justin Hill,OLB,4,84,Alabama
59,Gideon Davidson,RB,4,84,Clemson
60,Zahir Mathis,DE,4,84,Maryland
61,Noah Mikhail,OLB,4,84,Texas A&M
62,Quincy Porter,WR,4,84,Ohio State
63,Faheem Delane,S,4,84,Ohio State
64,Andrew Marsh,WR,4,84,Michigan
65,Jalen Wiggins,DE,4,84,Florida
66,Linkon Cure,TE,4,84,Kansas St
67,Lance Jackson,DE,4,84,Texas
68,Shamari Earls,CB,4,84,Michigan
69,Tarvos Alford,OLB,4,84,Ohio State
70,Michael Carroll,OG,4,84,Alabama
71,Zion Grady,DE,4,84,Ohio State
72,Aaron Dunn,OT,4,84,USC
73,J'Vari Flowers,CB,4,83,Florida
74,Javian Hilson,DE,4,83,Missouri
75,Andrew Olesh,TE,4,83,Penn State
76,Nathaniel Owusu-Boateng,OLB,4,83,Michigan
77,Nathaniel Marshall,DT,4,83,Michigan
78,Cortez Smith,OG,4,83,Georgia
79,Akili Smith Jr.,QB,4,83,Oregon
80,Nasir Wyatt,OLB,4,83,Oregon
81,Jourdin Crawford,DT,4,83,Auburn
82,Christian Jones,OLB,4,83,Nebraska
83,Jaboree Antoine,CB,4,83,Miami
84,Hylton Stubbs,S,4,83,Florida
85,Elijah Barnes,OLB,4,83,Texas
86,Matt Zollers,QB,4,83,Missouri
87,Malik Autry,DT,4,83,Auburn
88,Madden Faraimo,OLB,4,83,Notre Dame
89,C.J. Nickson,DE,4,83,Oklahoma
90,Tavion Wallace,OLB,4,83,Arkansas
91,Anthony Rogers,RB,4,83,Ohio State
92,Will Black,OT,4,83,Notre Dame
93,Kainoa Winston,S,4,83,Michigan
94,Derick Smith,ATH,4,83,Auburn
95,Antwann Hill,QB,4,83,Memphis
96,Jordan Young,S,4,83,Michigan
97,Jordon Davison,RB,4,83,Oregon
98,Jackson Lloyd,OT,4,83,Alabama
99,Graceson Littleton,CB,4,83,Texas
100,Lagonza Hayward Jr.,S,4,83,Florida
101,Chuck McDonald III,CB,4,83,Alabama
102,Lotzeir Brooks,WR,4,83,Alabama
103,Dawson Merritt,OLB,4,83,Nebraska
104,Gavin Nix,ILB,4,83,Oregon
105,Eric Winters,S,4,83,Auburn
106,Smith Orogbo,DE,4,83,Texas
107,D.J. Sanders,DT,4,83,Texas A&M
108,Donovan Olugbode,WR,4,83,Missouri
109,George MacIntyre,QB,4,83,Tennessee
110,James Flanigan,TE,4,83,Notre Dame
111,Ari Watford,DE,4,83,Clemson
112,Byron Louis,RB,4,83,Florida
113,Ryan Montgomery,QB,4,83,Georgia
114,Naeshaun Montgomery,WR,4,83,Florida
115,Zelus Hicks,S,4,83,Texas
116,K.J. Lacey,QB,4,83,Texas
117,Michael Thomas III,WR,4,83,Rutgers
118,Todd Robinson,ATH,4,83,Georgia
119,Micah Debose,OG,4,83,Alabama
120,Bryce Davis,DE,4,83,Duke
121,Jaylen Gilchrist,OT,4,83,Alabama
