rank,name,position,stars,grade,school
1,Malachi Nelson,QB,5,93,USC
2,Dante Moore,QB,5,93,UCLA
3,Jackson Arnold,QB,5,93,Oklahoma
4,Peter Woods,DT,5,93,Clemson
5,Arch Manning,QB,5,93,Texas
6,Francis Mauigoa,OT,5,92,Miami
7,Zachariah Branch,WR,5,92,USC
8,David Hicks,DT,5,92,Texas A&M
9,Jaquavious Russaw,OLB,5,91,Alabama
10,Kadyn Proctor,OT,5,91,Alabama
11,Caleb Downs,S,5,91,Alabama
12,Keon Keeley,DE,5,91,Alabama
13,Makai Lemon,WR,5,90,USC
14,Cormani McClain,CB,5,90,Colorado
15,Raylen Wilson,OLB,5,90,Georgia
16,Anthony Hill,ILB,5,90,Texas
17,Peyton Bowen,S,5,90,Oklahoma
18,Suntarine Perkins,OLB,5,90,Ole Miss
19,Desmond Ricks,CB,5,90,Alabama
20,Adepoju Adebawore,DE,5,90,Oklahoma
21,Samson Okunlola,OG,5,90,Miami
22,Richard Young,RB,4,89,Alabama
23,Nico Iamaleava,QB,4,89,Tennessee
24,Justice Haynes,RB,4,89,Alabama
25,James Smith,DT,4,88,Alabama
26,Johntay Cook II,WR,4,88,Texas
27,Joenel Aguero,S,4,87,Georgia
28,Hykeem Williams,WR,4,87,Florida St
29,Eli Holstein,QB,4,87,Alabama
30,Cedric Baxter Jr.,RB,4,87,Texas
31,Jaden Rashada,QB,4,87,Arizona St
32,Javien Toviano,CB,4,87,LSU
33,Samuel M'Pemba,DE,4,87,Georgia
34,Brandon Inniss,WR,4,87,Ohio State
35,Damon Wilson,DE,4,87,Georgia
36,Dylan Lonergan,QB,4,87,Alabama
37,A.J. Harris,CB,4,87,Georgia
38,Jurrion Dickey,WR,4,87,Oregon
39,Nyckoles Harbor,ATH,4,87,S Carolina
40,Duce Robinson,TE,4,86,USC
41,Troy Bowles,OLB,4,86,Georgia
42,Christopher Vizzina,QB,4,86,Clemson
43,Jermaine Mathews,CB,4,86,Ohio State
44,Rueben Owens II,RB,4,86,Texas A&M
45,Jaquaize Pettaway,WR,4,86,Oklahoma
46,Jahlil Hurley,CB,4,86,Alabama
47,Jalen Hale,WR,4,86,Alabama
48,Jacobe Johnson,ATH,4,86,Oklahoma
49,Da'Shawn Womack,DE,4,86,LSU
50,Jordan Renaud,DT,4,86,Alabama
51,Zalance Heard,OT,4,86,LSU
52,Malik Muhammad,CB,4,86,Texas
53,Kelby Collins,DT,4,86,Florida
54,Elliot Washington,S,4,86,Penn State
55,Cayden Green,OG,4,86,Oklahoma
56,Monroe Freeling,OT,4,86,Georgia
57,Derek Williams,S,4,86,Texas
58,J'ven Williams,OG,4,86,Penn State
59,Jaiden Ausberry,OLB,4,86,Notre Dame
60,Braylon James,WR,4,86,Notre Dame
61,Chase Bisontis,OT,4,86,Texas A&M
62,Jalen Brown,WR,4,86,LSU
63,Bravion Rogers,ATH,4,86,Texas A&M
64,Luke Montgomery,OT,4,86,Ohio State
65,Matayo Uiagalelei,DE,4,86,Oregon
66,Charles Jagusah,OT,4,86,Notre Dame
67,Noah Rogers,WR,4,86,Ohio State
68,Sydir Mitchell,DT,4,86,Texas
69,Rueben Bain,DE,4,86,Miami
70,Ja'Keem Jackson,CB,4,86,Florida
71,Vic Burley,DT,4,86,Clemson
72,T.J. Capers,OLB,4,86,Louisville
73,Yhonzae Pierre,DE,4,86,Alabama
74,Shelton Sampson Jr.,WR,4,85,LSU
75,Malik Bryant,OLB,4,85,Miami
76,DeAndre Moore Jr.,WR,4,85,Texas
77,Alex Birchmeier,OG,4,85,Penn State
78,Avery Johnson,QB,4,85,Kansas St
79,Drayk Bowen,OLB,4,85,Notre Dame
80,Dalton Brooks,S,4,85,Texas A&M
81,Karmello English,WR,4,85,Michigan
82,Harris Sewell,OG,4,85,Clemson
83,Makari Vickers,CB,4,85,Oklahoma
84,Luke Hasz,TE,4,85,Arkansas
85,Chandavian Bradley,DE,4,85,Tennessee
86,Riley Williams,TE,4,85,Miami
87,Tomarrion Parker,DE,4,85,Clemson
88,Jason Moore,DT,4,85,Ohio State
89,Stanton Ramil,OT,4,85,Michigan St
90,Jayden Wayne,DE,4,85,Miami
91,John Walker,DT,4,84,UCF
92,Dijon Johnson,CB,4,84,Florida
93,Aidan Mizell,WR,4,84,Florida
94,Jeremiyah Love,RB,4,84,Notre Dame
95,Tony Mitchell,S,4,84,Alabama
96,Ashton Cozart,WR,4,84,Oregon
97,Roderick Kearney,OG,4,84,Florida
98,C.J. Allen,ILB,4,84,Georgia
99,Ryan Niblett,ATH,4,84,Texas
100,Jelani Thurman,TE,4,84,Ohio State
101,Rodrick Pleasant,CB,4,84,Oregon
102,Gabriel Harris,DE,4,84,Georgia
103,Caleb Herring,OLB,4,84,Tennessee
104,Ayden Williams,WR,4,84,Ole Miss
105,King Mack,S,4,84,Penn State
106,Robert Stafford,CB,4,84,Miami
107,Bai Jobe,DE,4,84,Michigan St
108,Isaac Smith,S,4,84,Miss St
109,Bo Hughley,OT,4,84,Georgia
110,Micah Bell,ATH,4,84,Notre Dame
111,Wilkin Formby,OT,4,84,Alabama
112,J.J. Kohl,QB,4,84,Iowa State
113,Damari Brown,CB,4,84,Miami
114,Tausili Akana,OLB,4,84,Texas
115,Desmond Umeozulu,DE,4,84,S Carolina
116,Samuel Omosigho,OLB,4,84,Oklahoma
117,Cole Cabana,RB,4,84,Michigan
118,Walker Lyons,TE,4,84,USC
119,Enow Etta,DE,4,84,Michigan
120,Cameron Seldon,WR,4,84,Tennessee
121,Olaus Alinen,OT,4,84,Alabama
