rank,name,position,stars,grade,school
1,Kayvon Thibodeaux,DE,5,92,Oregon
2,Nolan Smith,DE,5,92,Georgia
3,Kenyon Green,OT,5,91,Texas A&M
4,Evan Neal,OT,5,91,Alabama
5,Darnell Wright,OT,5,91,Tennessee
6,Jadon Haselwood,WR,5,91,Oklahoma
7,Pierce Quick,OT,5,91,Alabama
8,Owen Pappoe,OLB,5,91,Auburn
9,Wanya Morris,OT,5,91,Tennessee
10,Zach Harrison,DE,5,90,Ohio State
11,John Emery,RB,5,90,LSU
12,Devontae Dobbs,OT,5,90,Michigan St
13,Daxton Hill,S,5,90,Michigan
14,Clay Webb,OC,5,90,Georgia
15,Logan Brown,OT,4,89,Wisconsin
16,Trey Sanders,RB,4,88,Alabama
17,Garrett Wilson,WR,4,88,Ohio State
18,Derek Stingley Jr.,CB,4,87,LSU
19,Jerrion Ealy,RB,4,87,Ole Miss
20,Zacch Pickens,DE,4,86,S Carolina
21,Graham Mertz,QB,4,86,Wisconsin
22,Brandon Smith,OLB,4,86,Penn State
23,Bo Nix,QB,4,86,Auburn
24,Nakobe Dean,OLB,4,86,Georgia
25,Mykael Wright,CB,4,86,Oregon
26,Harry Miller,OC,4,86,Ohio State
27,Bru McCoy,ATH,4,86,Texas
28,Antonio Alfano,DT,4,86,Alabama
29,Spencer Rattler,QB,4,86,Oklahoma
30,Amari Kight,OT,4,86,Alabama
31,Justin Eboigbe,DE,4,86,Alabama
32,Tyler Johnson,OT,4,86,Texas
33,Theo Wease Jr.,WR,4,86,Oklahoma
34,Andrew Booth,CB,4,86,Clemson
35,Lewis Cine,S,4,86,Georgia
36,Dominick Blaylock,WR,4,86,Georgia
37,Jeffery Carter,CB,4,86,Alabama
38,Frank Ladson Jr.,WR,4,86,Clemson
39,Ishmael Sopsher,DT,4,86,Alabama
40,Jordan Whittington,ATH,4,86,Texas
41,Brian Williams,S,4,86,Texas A&M
42,Quavaris Crouch,ATH,4,86,Tennessee
43,Jaquaze Sorrells,DT,4,86,S Carolina
44,Jayden Daniels,QB,4,86,Arizona St
45,Mazi Smith,DT,4,86,Michigan
46,Travon Walker,DE,4,85,Georgia
47,Henry To'oto'o,OLB,4,85,Tennessee
48,Christopher Hinton,DT,4,85,Michigan
49,Keiondre Jones,OG,4,85,Auburn
50,Savion Jackson,DE,4,85,NC State
51,Jacob Bandes,DT,4,85,Washington
52,Hudson Henry,TE,4,85,Arkansas
53,Mase Funa,OLB,4,85,Oregon
54,George Pickens,WR,4,85,Georgia
55,De'Gabriel Floyd,OLB,4,85,Texas
56,Kardell Thomas,OG,4,85,LSU
57,Kyle Ford,WR,4,85,USC
58,Tyler Davis,DT,4,85,Clemson
59,Kaiir Elam,ATH,4,85,Florida
60,DeMarvin Leal,DT,4,85,Texas A&M
61,Jeremiah Payton,WR,4,85,Miami
62,Keon Zipperer,TE,4,85,Florida
63,Joey Yellen,QB,4,85,Arizona St
64,Julian Barnett,CB,4,85,Michigan St
65,Baylor Cupp,TE,4,84,Texas A&M
66,Ryan Hilinski,QB,4,84,S Carolina
67,Brandon Turnage,CB,4,84,Alabama
68,Jeremiah Criddell,ATH,4,84,Oklahoma
69,Noah Cain,RB,4,84,Penn State
70,Austin Stogner,TE,4,84,Oklahoma
71,George Karlaftis,DE,4,84,Purdue
72,Doug Nester,OT,4,84,Virginia Tech
73,Shane Lee,ILB,4,84,Alabama
74,Ronnie Hickman,WR,4,84,Ohio State
75,Jowon Briggs,DT,4,84,Virginia
76,Jake Smith,WR,4,84,Texas
77,Trezman Marshall,ILB,4,84,Georgia
78,Nathan Pickering,DT,4,84,Miss St
79,Christian Harris,ATH,4,84,Alabama
80,Adisa Isaac,DE,4,84,Penn State
81,Anthony Solomon,OLB,4,84,Michigan
82,Treylon Burks,WR,4,84,Arkansas
83,Kenyatta Watson,CB,4,84,Texas
84,Charles Cross,OT,4,84,Miss St
85,Lance Wilhoite,WR,4,84,Oregon
86,Marcel Brooks,OLB,4,84,LSU
87,Marquez Beason,CB,4,84,Illinois
88,Faatui Tuitele,DT,4,84,Washington
89,Tyrique Stevenson,CB,4,84,Georgia
90,Arjei Henderson,WR,4,84,Florida
91,Kevin Harris,DE,4,84,Alabama
92,Jordan Battle,S,4,84,Alabama
93,Akeem Dent,CB,4,84,Florida St
94,Isaiah Williams,ATH,4,84,Illinois
95,Chris Steele,CB,4,84,Florida
96,Makiya Tongue,ATH,4,84,Georgia
97,Dylan Wright,WR,4,84,Texas A&M
98,Jonah Tauanu'u,OT,4,84,Oregon
99,Erick Young,CB,4,84,Texas A&M
100,Charles Moore,DT,4,84,Auburn
101,Zach Charbonnet,RB,4,84,Michigan
102,Rian Davis,OLB,4,84,Georgia
103,Jameson Williams,WR,4,84,Ohio State
104,Roschon Johnson,ATH,4,84,Texas
